"schema_version","occurrence_id","notation_id","notation_role","link_status","notes"
"inventory-v1.0.0","OLV10P-O0001","OLV10P-N0001","defined_notation","provisional","Link is based on the 2010 preview and awaits locked-edition reconciliation."
"inventory-v1.0.0","OLV10P-O0002","OLV10P-N0002","defined_notation","provisional","Link is based on the 2010 preview and awaits locked-edition reconciliation."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-Q","used_notation","provisional","Direct first collation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-A","used_notation","provisional","Direct first collation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-LAMMU","used_notation","provisional","Direct first collation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-XT","used_notation","provisional","Direct first collation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-PHI","used_notation","provisional","Direct proof notation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON","OLV97-N-WAT-GAMMA","used_notation","provisional","Direct first collation; independent source review pending."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-Q","used_notation","provisional","Section 9 reuses Theorem 3.1 data; independent review pending."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-A","used_notation","provisional","Section 9 reuses Theorem 3.1 coefficients; independent review pending."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-LAMMU","used_notation","provisional","Section 9 reuses Theorem 3.1 parameters; independent review pending."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-XT","used_notation","provisional","Section 9 reuses the Laplace variables; independent review pending."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-PHI","used_notation","provisional","Section 9 bounds phi_n globally; independent review pending."
