"schema_version","notation_id","entity_id","source_snapshot_id","source_locator","printed_symbol","binder_and_argument_order","ambient_type","parameter_roles","domain_and_branch","normalization","exceptional_values","derivative_variable","evidence_type","resolution_status","transcription_status","notes"
"inventory-v1.0.0","OLV10P-N0001","gamma","SRC-OLV-2010-PREVIEW","Ch. 2 §1.1 eq. (1.01)","Gamma(z)","z","complex","z is the complex argument","Euler integral initially on Re(z)>0; continuation requires audit","Unnormalized Euler Gamma","Pole and totalization policy unresolved","","direct_formula","normalization_unresolved","summary_only","Exact glyph and formula must be reconciled to the locked 1997 printing."
"inventory-v1.0.0","OLV10P-N0002","reciprocal_gamma","SRC-OLV-2010-PREVIEW","Ch. 2 §1.4 eq. (1.06)","1/Gamma(z)","z","complex","z is the complex argument","Described as entire; page-level convention requires audit","Literal reciprocal away from Gamma poles","Values at nonpositive integers require exact collation","","direct_formula","normalization_unresolved","summary_only","The product factors and zero convention require a mathematical transcription."
"inventory-v1.0.0","OLV97-N-WAT-Q","watson_amplitude","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §3.2 eqs. (3.02)-(3.05)","q(t)","q fixed; t positive real","unresolved","q is the amplitude; t is its positive real argument","t > 0; finitely many discontinuities or infinities permitted subject to improper convergence","Expansion coefficients and powers are fixed by (3.02)","Possible interior and endpoint infinities are source-permitted subject to convergence","","direct_formula","normalization_unresolved","mathematical_transcription","The value type of q is not explicit in the theorem statement and must be reviewed."
"inventory-v1.0.0","OLV97-N-WAT-A","watson_coefficients","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §3.2 eqs. (3.02)-(3.05)","a_s","s in Nat, starting at 0","unresolved","a_s is the coefficient at exponent (s+lambda-mu)/mu","Same scalar field as q; no branch because t > 0","Zero-based coefficient sequence; finite sums use s = 0,...,n-1","a_n = 0 is allowed in Theorem 3.1 but obstructs the logarithmic quotient in §9.1","","direct_formula","normalization_unresolved","mathematical_transcription","Scalar type follows the unresolved real-versus-complex amplitude convention."
"inventory-v1.0.0","OLV97-N-WAT-LAMMU","watson_exponent_parameters","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §3.2 Theorem 3.1","lambda, mu","lambda > 0; mu > 0; both fixed","real","lambda is the exponent offset; mu is the positive spacing denominator","Positive real parameters; positive-real powers of t and x","Source exponents are (s+lambda-mu)/mu before integration and (s+lambda)/mu after integration","No exceptional values inside the stated positive domain","","direct_formula","normalization_unresolved","mathematical_transcription","The formulas and positivity are visually clear; independent collation review is pending."
"inventory-v1.0.0","OLV97-N-WAT-XT","watson_laplace_variables","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §2.1 eq. (2.01); §3.2 eq. (3.03)","t, x","integrate t from 0 to infinity; x tends to positive infinity","real","t is the integration variable; x is the positive asymptotic parameter","t > 0 and x sufficiently large for convergence","Kernel exp(-x*t); q is independent of x","x = 0 is outside the source's positive-parameter convention","","direct_formula","normalization_unresolved","mathematical_transcription","The source uses an improper Riemann integral; Lean encoding remains under review."
"inventory-v1.0.0","OLV97-N-WAT-PHI","watson_remainders","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §3.2 eq. (3.04) and proof of (3.07)","phi_n(t), Phi_n(t)","n in Nat; t > 0; one common baseline X chosen before n","mixed","phi_n is q minus the first n model terms; Phi_n is the integral from k_n to t of exp(-X*v)*phi_n(v)","Positive-real integration domain; X is a convergence baseline and x > X in the tail estimate","Empty sum at n = 0; beta_n = (n+lambda)/mu","No division or branch; boundedness of Phi_n comes from improper convergence","","direct_formula","normalization_unresolved","mathematical_transcription","Proof-device notation is direct source content; scalar codomain follows q."
"inventory-v1.0.0","OLV97-N-WAT-GAMMA","gamma","SRC-OLV-1997-USER-PDF-20260905","Ch. 3 §3.2 eqs. (3.03), (3.05), (3.06)","Gamma((s+lambda)/mu)","s in Nat; lambda, mu positive","real","Gamma evaluates the positive-real power-exponential moment","Argument (s+lambda)/mu is strictly positive; no branch choice","Euler Gamma normalization used by the moment integral","No pole occurs on the stated positive argument domain","","direct_formula","normalization_unresolved","mathematical_transcription","The positive-real normalization is clear locally; independent review must confirm the intended source-entity mapping."
"inventory-v1.0.0","OLV97-N-AIR-AI","airy_ai","SRC-OLV-1997-USER-PDF-20260905","Ch. 2 §§8.1-8.3 eqs. (8.01)-(8.05)","Ai(x), Ai(z)","x real in (8.01); z complex after continuation","mixed","x is the real oscillatory-integral argument; z is the entire-function argument","Improper oscillatory integral for real x; admissible complex contour for z","Normalization fixed by (8.04), equivalently the real integral or contour after identification","No exceptional argument is stated; contour admissibility carries convergence conditions","z","direct_formula","normalization_unresolved","mathematical_transcription","Real-integral and complex-contour agreement and the derivative-under-integral step remain independently unreviewed."
"inventory-v1.0.0","OLV97-N-AIR-L","airy_ai_contour_family","SRC-OLV-1997-USER-PDF-20260905","Ch. 2 §8.1 eq. (8.02)","L","oriented path from a lower endpoint sector to its conjugate upper sector","complex","v is the contour integration variable; z is the parameter","Boundary endpoint sectors are distinguished from strict delta-interior sectors used for compact-uniform convergence","Orientation and endpoint sectors are part of the contour datum","Boundary-ray convergence and contour-independence policy remain unresolved","","direct_formula","normalization_unresolved","mathematical_transcription","No derivative of L is transcribed. The exponential integrand is single-valued; the source's ph notation records endpoint directions, not a global branch dependency."
