"schema_version","page_audit_id","source_snapshot_id","coordinate_system","snapshot_page_start","snapshot_page_end","printed_page_start","printed_page_end","audit_scope","audit_status","audited_by","audit_date","reviewed_by","review_date","notes"
"inventory-v1.0.0","PA-2010-PREVIEW-BIB","SRC-OLV-2010-PREVIEW","pdf_page","4","4","","","bibliographic_page","partial","codex-research-seed","2026-09-05","","","Copyright and impression metadata inspected; printed-page reconciliation is not applicable to this front-matter page and no independent review is recorded."
"inventory-v1.0.0","PA-2010-PREVIEW-CONTENTS","SRC-OLV-2010-PREVIEW","pdf_page","7","18","","","contents_and_prefaces","partial","codex-research-seed","2026-09-05","","","Used for candidate discovery and edition notes; this is not an exhaustive mathematical-body audit."
"inventory-v1.0.0","PA-2010-PREVIEW-CH2-SAMPLE","SRC-OLV-2010-PREVIEW","pdf_page","49","58","","","chapter_2_sample","partial","codex-research-seed","2026-09-05","","","Gamma through the beginning of the exponential-integral section inspected in the preview; no 1997 reconciliation or second review."
"inventory-v1.0.0","PA-OLV97-BIB-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","1","2","","","title_and_copyright","partial","codex-root-source-collator","2026-09-05","","","Title and copyright pages identify Olver, A K Peters, 1997, ISBN 1-56881-069-5. Independent review pending."
"inventory-v1.0.0","PA-OLV97-PREFACE-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","11","11","","","corrected_reprint_preface","partial","codex-root-source-collator","2026-09-05","","","A K Peters preface states that the full volume was reprinted and several errors were corrected. Independent review pending."
"inventory-v1.0.0","PA-OLV97-ASYMPTOTIC-CONVENTION-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","29","30","16","17","asymptotic_expansion_convention","partial","codex-root-source-collator","2026-09-05","","","Chapter 1 section 7 fixes the n-term partial-sum and O-at-next-scale convention used to read Theorem 3.1. Independent review pending."
"inventory-v1.0.0","PA-OLV97-WATSON-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","80","85","67","72","laplace_context_and_watson_theorem","partial","codex-root-source-collator","2026-09-05","","","Equation (2.01), parameter roles, Theorem 3.1, and equations (3.02)-(3.08) inspected visually and against the text layer. Independent review pending."
"inventory-v1.0.0","PA-OLV97-WATSON-BOUNDS-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","102","103","89","90","watson_global_error_bounds","partial","codex-root-source-collator","2026-09-05","","","Section 9.1-9.3 and equations (9.01)-(9.07) inspected; the first transcription records only sections 9.1-9.2. Independent review pending."
"inventory-v1.0.0","PA-OLV97-AIRY-C02-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","66","68","53","55","chapter_2_airy_integral_and_Ai_normalization","partial","codex-source-inventory-integrator","2026-09-05","","","Chapter 2 sections 8.1-8.3 and equations (8.01)-(8.06) received a first formula-level collation. Independent page and transcription review pending."
"inventory-v1.0.0","PA-OLV97-AIRY-C11-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","405","410","392","397","chapter_11_real_Airy_basis_and_auxiliaries","partial","codex-source-inventory-integrator","2026-09-05","","","Chapter 11 sections 1.1-2.4 and equations (1.01)-(1.19), (2.01)-(2.15) received a first formula-level collation. Graphs, tables, exercises, and section 3 are excluded; independent review pending."
"inventory-v1.0.0","PA-OLV97-EULER-MACLAURIN-R1","SRC-OLV-1997-USER-PDF-20260905","pdf_page","292","297","279","284","chapter_8_section_1_euler_maclaurin_and_Bernoulli_objects","partial","codex-source-inventory-integrator","2026-09-05","","","Chapter 8 section 1 through equation (1.13) received a first formula-level collation. Exercises and section 2.1 are excluded; independent review pending."
